timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1541168112459,1348,Facebook,200,OK,MEAN 1-1,text,true,,514090,120,1,1,https://www.facebook.com/,479,0,120
1541168113808,1315,Facebook,200,OK,MEAN 1-1,text,true,,514532,120,1,1,https://www.facebook.com/,455,0,112
1541168115124,1432,Facebook,200,OK,MEAN 1-1,text,true,,514504,120,1,1,https://www.facebook.com/,572,0,120
1541168116557,1342,Facebook,200,OK,MEAN 1-1,text,true,,514012,120,1,1,https://www.facebook.com/,471,0,120
1541168117900,1313,Facebook,200,OK,MEAN 1-1,text,true,,514401,120,1,1,https://www.facebook.com/,458,0,114
1541168119214,1341,Facebook,200,OK,MEAN 1-1,text,true,,513958,120,1,1,https://www.facebook.com/,476,0,122
1541168120557,1435,Facebook,200,OK,MEAN 1-1,text,true,,513916,120,1,1,https://www.facebook.com/,565,0,114
1541168122007,1233,Facebook,200,OK,MEAN 1-1,text,true,,514395,120,1,1,https://www.facebook.com/,357,0,116
1541168123240,1377,Facebook,200,OK,MEAN 1-1,text,true,,514065,120,1,1,https://www.facebook.com/,526,0,120
1541168124618,1404,Facebook,200,OK,MEAN 1-1,text,true,,514946,120,1,1,https://www.facebook.com/,500,0,109
1541168126023,1659,Facebook,200,OK,MEAN 1-1,text,true,,514361,120,1,1,https://www.facebook.com/,465,0,136
1541168127683,1463,Facebook,200,OK,MEAN 1-1,text,true,,514397,120,1,1,https://www.facebook.com/,609,0,124
1541168129147,1343,Facebook,200,OK,MEAN 1-1,text,true,,514087,120,1,1,https://www.facebook.com/,476,0,123
1541168130492,1435,Facebook,200,OK,MEAN 1-1,text,true,,514362,120,1,1,https://www.facebook.com/,565,0,111
1541168131928,1334,Facebook,200,OK,MEAN 1-1,text,true,,513964,120,1,1,https://www.facebook.com/,460,0,109
1541168133263,1352,Facebook,200,OK,MEAN 1-1,text,true,,514090,120,1,1,https://www.facebook.com/,502,0,109
1541168134616,1215,Facebook,200,OK,MEAN 1-1,text,true,,514063,120,1,1,https://www.facebook.com/,311,0,120
1541168135832,1407,Facebook,200,OK,MEAN 1-1,text,true,,513694,120,1,1,https://www.facebook.com/,550,0,131
1541168137240,1437,Facebook,200,OK,MEAN 1-1,text,true,,514452,120,1,1,https://www.facebook.com/,576,0,114
1541168138678,1435,Facebook,200,OK,MEAN 1-1,text,true,,514460,120,1,1,https://www.facebook.com/,571,0,121
